pop;municipality;p_votes_eu;turnover_eu;p_votes_c;diff_dx
972;MORFASSO;77.7;60.8;10.9;66.8
8898;FISCAGLIA;53;68;10.9;42.1
15957;NONANTOLA;33.6;69.3;12.2;21.4
9110;REGGIOLO;39.7;73.1;12.7;27
19234;CASALGRANDE;41.1;68.1;13.3;27.8
32473;SAN LAZZARO DI SAVENA;37;74;13.3;23.7
10346;LANGHIRANO;57.1;74;13.3;43.8
6471;GUALTIERI;47.1;66.3;13.4;33.7
11263;SANT'ILARIO D'ENZA;38.9;69.6;14.9;24
30849;VALSAMOGGIA;38.9;70.7;15;23.9
2970;ROCCABIANCA;56.7;60.2;16.1;40.6
14903;SASSO MARCONI;38.9;72.9;16.2;22.7
3589;BOBBIO;64.2;64.7;16.6;47.6
6460;SAN CESARIO SUL PANARO;39.4;74;17.1;22.3
873;COLI;70.6;70.5;17.2;53.4
1852;VETTO;59.8;73.7;17.6;42.2
4482;MODIGLIANA;52.7;74.6;17.9;34.8
8808;CAMPOGALLIANO;38.5;72.7;18;20.5
12781;SORBOLO MEZZANI;51.1;70.4;18;33.1
13819;OZZANO DELL'EMILIA;36.4;73.7;18.1;18.3
15363;CASTENASO;36.4;75.1;18.1;18.3
6853;MARZABOTTO;37.2;71.7;18.1;19.1
7774;TORRILE;51.4;68.1;18.4;33
2121;TRAVO;58.4;67.7;18.4;40
3894;GRIZZANA MORANDI;40.6;68.8;18.6;22
13330;MISANO ADRIATICO;50.1;70.6;19.3;30.8
5345;BORETTO;55.3;61.5;19.6;35.7
16768;MEDICINA;37.5;70.7;19.7;17.8
7285;POVIGLIO;42.6;65.8;20.2;22.4
6778;MESOLA;60.9;66;20.6;40.3
7479;COTIGNOLA;44.3;72;21.6;22.7
8760;MINERBIO;42;70.6;21.7;20.3
25664;CORREGGIO;33.2;73.5;21.8;11.4
8372;SALA BOLOGNESE;41.2;74.3;21.9;19.3
10473;CASTELNOVO NE' MONTI;51.1;74.4;22.1;29
15296;SOLIERA;38.1;71.9;22.3;15.8
13721;NOVELLARA;36.3;73;22.6;13.7
18349;CASTEL MAGGIORE;33.5;73.6;22.6;10.9
7920;RIVA DEL PO;57.7;72.2;22.6;35.1
36456;CASALECCHIO DI RENO;34.5;70.9;22.9;11.6
25758;SCANDIANO;39.4;72.6;23;16.4
4262;VEZZANO SUL CROSTOLO;41.6;78.4;23.5;18.1
6132;RAVARINO;42.3;67.1;23.6;18.7
5513;BENTIVOGLIO;37.8;71.7;24.2;13.6
8830;ALBINEA;36.8;75.9;24.2;12.6
13217;QUATTRO CASTELLA;38.7;74.9;24.4;14.3
20862;CASTEL SAN PIETRO TERME;39.4;70.8;24.9;14.5
12032;GRANAROLO DELL'EMILIA;37.3;73.5;25.1;12.2
9917;CAVRIAGO;32.2;69.2;25.7;6.5
10960;MONTE SAN PIETRO;38.8;73.6;25.8;13
